Participant,ReadingTime,ItemNumber,RCType,VerbBias,Word,WordNumber,Sentence,WordType,LanguageGroup
1571857144,391,9,Full,Sentence,The,1,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,570,9,Full,Sentence,chef,2,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,529,9,Full,Sentence,claimed,3,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,470,9,Full,Sentence,that,4,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,539,9,Full,Sentence,the,5,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,622,9,Full,Sentence,recipe,6,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,499,9,Full,Sentence,would,7,The chef claimed that the recipe would require using fresh basil.,Critical,L1
1571857144,670,9,Full,Sentence,require,8,The chef claimed that the recipe would require using fresh basil.,PostCritical,L1
1571857144,492,9,Full,Sentence,using,9,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,647,9,Full,Sentence,fresh,10,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,351,9,Full,Sentence,basil.,11,The chef claimed that the recipe would require using fresh basil.,Ignore,L1
1571857144,479,20,Reduced,NounPhrase,The,1,The mechanic maintained the engine was working reliably.,Ignore,L1
1571857144,1151,20,Reduced,NounPhrase,mechanic,2,The mechanic maintained the engine was working reliably.,Ignore,L1
1571857144,800,20,Reduced,NounPhrase,maintained,3,The mechanic maintained the engine was working reliably.,Ignore,L1
1571857144,781,20,Reduced,NounPhrase,the,4,The mechanic maintained the engine was working reliably.,Ignore,L1
1571857144,829,20,Reduced,NounPhrase,engine,5,The mechanic maintained the engine was working reliably.,Ignore,L1
1571857144,649,20,Reduced,NounPhrase,was,6,The mechanic maintained the engine was working reliably.,Critical,L1
1571857144,582,20,Reduced,NounPhrase,working,7,The mechanic maintained the engine was working reliably.,PostCritical,L1
1571857144,677,20,Reduced,NounPhrase,reliably.,8,The mechanic maintained the engine was working reliably.,Ignore,L1
1571857144,430,14,Reduced,Sentence,The,1,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,709,14,Reduced,Sentence,attorney,2,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,862,14,Reduced,Sentence,hinted,3,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,509,14,Reduced,Sentence,the,4,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,970,14,Reduced,Sentence,defendant,5,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,610,14,Reduced,Sentence,was,6,The attorney hinted the defendant was planning to jump bail.,Critical,L1
1571857144,749,14,Reduced,Sentence,planning,7,The attorney hinted the defendant was planning to jump bail.,PostCritical,L1
1571857144,461,14,Reduced,Sentence,to,8,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,539,14,Reduced,Sentence,jump,9,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,741,14,Reduced,Sentence,bail.,10,The attorney hinted the defendant was planning to jump bail.,Ignore,L1
1571857144,348,13,Full,NounPhrase,The,1,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,670,13,Full,NounPhrase,accountant,2,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,1200,13,Full,NounPhrase,advised,3,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,579,13,Full,NounPhrase,that,4,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,1271,13,Full,NounPhrase,the,5,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,720,13,Full,NounPhrase,client,6,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,619,13,Full,NounPhrase,was,7,The accountant advised that the client was cheating on his taxes.,Critical,L1
1571857144,721,13,Full,NounPhrase,cheating,8,The accountant advised that the client was cheating on his taxes.,PostCritical,L1
1571857144,540,13,Full,NounPhrase,on,9,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,590,13,Full,NounPhrase,his,10,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,580,13,Full,NounPhrase,taxes.,11,The accountant advised that the client was cheating on his taxes.,Ignore,L1
1571857144,437,19,Full,Sentence,The,1,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,1032,19,Full,Sentence,gardener,2,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,752,19,Full,Sentence,decided,3,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,567,19,Full,Sentence,that,4,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,500,19,Full,Sentence,the,5,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,612,19,Full,Sentence,lawn,6,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,538,19,Full,Sentence,was,7,The gardener decided that the lawn was in good shape.,Critical,L1
1571857144,472,19,Full,Sentence,in,8,The gardener decided that the lawn was in good shape.,PostCritical,L1
1571857144,759,19,Full,Sentence,good,9,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,639,19,Full,Sentence,shape.,10,The gardener decided that the lawn was in good shape.,Ignore,L1
1571857144,419,12,Reduced,NounPhrase,The,1,The professor revealed the answer was not correct.,Ignore,L1
1571857144,620,12,Reduced,NounPhrase,professor,2,The professor revealed the answer was not correct.,Ignore,L1
1571857144,641,12,Reduced,NounPhrase,revealed,3,The professor revealed the answer was not correct.,Ignore,L1
1571857144,548,12,Reduced,NounPhrase,the,4,The professor revealed the answer was not correct.,Ignore,L1
1571857144,462,12,Reduced,NounPhrase,answer,5,The professor revealed the answer was not correct.,Ignore,L1
